                          Model  Accuracy  Macro F1 Score  Training Time (s)  Inference Time (s)
0     Logistic Regression (BoW)  0.974023        0.974166          17.221358            0.012480
1  Logistic Regression (TF-IDF)  0.967579        0.967830          17.553559            0.011002
2  Logistic Regression (N-gram)  0.975015        0.975164         138.170433            0.057143
3           Decision Tree (BoW)  0.954491        0.955276          34.853784            0.016263
4        Decision Tree (TF-IDF)  0.947749        0.948211          42.841609            0.042346
5        Decision Tree (N-gram)  0.953500        0.954393         152.717438            0.069891
6                     SVM (BoW)  0.973429        0.973546          13.634569            0.014524
7                  SVM (TF-IDF)  0.978287        0.978590           2.215381            0.014495
8                  SVM (N-gram)  0.975114        0.975002          36.681212            0.043379
